Order ID,Order Date,Product Category,Product Name,Sales Amount,Profit,Region,Customer Segment
ORD-00001,2023-04-03,Technology,Laptop Pro 15,451.17,115.8,North,Corporate
ORD-00002,2023-04-22,Technology,Laptop Pro 15,1109.64,267.12,East,Corporate
ORD-00003,2022-01-14,Furniture,Filing Cabinet,323.52,40.56,Central,Home Office
ORD-00004,2022-07-18,Office Supplies,Sticky Notes Pack,60.26,12.7,,Small Business
ORD-00005,2024-01-11,Technology,"Monitor 27""",1239.23,187.48,East,Home Office
ORD-00006,2024-02-18,Technology,External SSD 1TB,700.35,86.37,West,Consumer
ORD-00007,2024-12-29,Office Supplies,Binder Clips Pack,106.73,29.24,East,Corporate
ORD-00008,2023-04-15,Furniture,Ergonomic Footrest,1227.06,453.52,North,Consumer
ORD-00009,2024-07-28,Office Supplies,Ball Pens Box,151.55,47.2,South,Small Business
ORD-00010,2023-03-26,Clothing,Office Trousers,390.1,137.08,South,Home Office
ORD-00011,2022-05-11,Furniture,Ergonomic Footrest,,227.61,West,Small Business
ORD-00012,2023-11-28,Technology,Webcam HD,521.03,185.77,East,Home Office
ORD-00013,2023-09-04,Office Supplies,Whiteboard Markers,47.79,5.09,West,Consumer
ORD-00014,2022-02-09,Technology,Mechanical Keyboard,401.36,53.71,North,Small Business
ORD-00015,2024-09-22,Furniture,Conference Table,1469.18,412.71,East,Consumer
ORD-00016,2023-03-10,Furniture,Bookshelf 5-Tier,1157.37,219.49,Central,Small Business
ORD-00017,2022-09-05,Office Supplies,Stapler Set,14.0,3.58,Central,Small Business
ORD-00018,2022-05-19,Technology,Laptop Pro 15,1829.76,519.91,East,Corporate
ORD-00019,2023-05-13,Furniture,Conference Table,1230.5,247.17,West,Small Business
ORD-00020,2022-07-21,Clothing,Polo T-Shirt,99.17,11.61,South,Consumer
ORD-00021,2023-07-25,Clothing,Formal Shirt,413.61,144.59,South,Corporate
ORD-00022,2022-07-11,Technology,Laptop Pro 15,1867.46,233.08,Central,Consumer
ORD-00023,2022-01-05,Clothing,Business Suit,254.75,,West,Small Business
ORD-00024,2023-03-22,Clothing,Formal Shirt,386.59,27.06,West,Home Office
ORD-00025,2022-04-27,Clothing,Office Trousers,317.77,90.99,Central,Corporate
ORD-00026,2022-03-23,Furniture,Filing Cabinet,686.91,259.07,East,Corporate
ORD-00027,2023-06-28,Furniture,Ergonomic Footrest,1040.37,325.79,North,Corporate
ORD-00028,2022-05-31,Technology,Laptop Pro 15,1167.74,86.5,South,Consumer
ORD-00029,2024-06-16,Furniture,Bookshelf 5-Tier,1084.96,,North,Corporate
ORD-00030,2022-08-01,Technology,Webcam HD,1890.07,460.47,Central,Home Office
ORD-00031,2023-12-04,Office Supplies,Printer Paper A4,78.2,28.69,Central,Corporate
ORD-00032,2022-04-01,Technology,Laptop Pro 15,206.38,63.86,South,Home Office
ORD-00033,2022-06-04,Clothing,Office Trousers,66.21,11.87,East,Consumer
ORD-00034,2023-09-24,Furniture,Filing Cabinet,1406.32,246.43,West,Consumer
ORD-00035,2024-04-12,Furniture,Ergonomic Footrest,1149.27,122.83,East,Home Office
ORD-00036,2023-11-12,Furniture,Filing Cabinet,879.32,120.34,East,Corporate
ORD-00037,2022-03-21,Furniture,Ergonomic Footrest,411.41,64.52,East,Small Business
ORD-00038,2024-03-27,Furniture,Standing Desk,1310.09,359.64,East,Corporate
ORD-00039,2022-08-25,Clothing,Office Trousers,492.6,31.23,North,Consumer
ORD-00040,2024-11-13,Clothing,Casual Jacket,90.97,18.43,North,Small Business
ORD-00041,2023-11-08,Furniture,Bookshelf 5-Tier,1337.37,304.24,South,Consumer
ORD-00042,2022-09-18,Clothing,Casual Jacket,386.66,42.88,South,Home Office
ORD-00043,2023-09-15,Office Supplies,Stapler Set,120.2,25.57,Central,Consumer
ORD-00044,2022-12-14,Clothing,Formal Shirt,427.27,35.33,Central,Small Business
ORD-00045,2023-02-12,Furniture,Ergonomic Footrest,164.7,52.53,North,Corporate
ORD-00046,2024-02-26,Clothing,Polo T-Shirt,52.5,16.42,Central,Corporate
ORD-00047,2022-12-27,Technology,External SSD 1TB,2141.62,794.79,South,Corporate
ORD-00048,2024-12-23,Technology,"Monitor 27""",2571.67,680.02,West,Small Business
